name1,categoryReference1,name2,categoryReference2
¡Makro también es Micro!,CT_17,Aseo,CT_17_01
¡Makro también es Micro!,CT_17,Carnes Frías,CT_17_02
¡Makro también es Micro!,CT_17,Congelados,CT_17_03
¡Makro también es Micro!,CT_17,Congelados,CT_17_03
¡Makro también es Micro!,CT_17,Cuidado del Bebe,CT_17_04
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06
¡Makro también es Micro!,CT_17,Dulces y Postres,CT_17_07
¡Makro también es Micro!,CT_17,Dulces y Postres,CT_17_07
¡Makro también es Micro!,CT_17,Dulces y Postres,CT_17_07
¡Makro también es Micro!,CT_17,"Lácteos, Huevos y Refrigerados",CT_17_08
¡Makro también es Micro!,CT_17,Mascotas,CT_17_09
¡Makro también es Micro!,CT_17,Mascotas,CT_17_10
¡Makro también es Micro!,CT_17,Snacks y Pasabocas,CT_17_10
¡Makro también es Micro!,CT_17,Snacks y Pasabocas,CT_17_10
¡Makro también es Micro!,CT_17,Snacks y Pasabocas,CT_17_10
¡Makro también es Micro!,CT_17,Vehiculo,CT_17_11