name1,categoryReference1,name2,categoryReference2,name3,categoryReference3
¡Makro también es Micro!,CT_17,Aseo,CT_17_01,Aseo Hogar,CT_17_01_01
¡Makro también es Micro!,CT_17,Carnes Frías,CT_17_02,"Salchichas, Chorizos y Otros",CT_17_02_01
¡Makro también es Micro!,CT_17,Congelados,CT_17_03,Comida Congelada,CT_17_03_01
¡Makro también es Micro!,CT_17,Congelados,CT_17_03,Helados y Tortas,CT_17_03_02
¡Makro también es Micro!,CT_17,Cuidado del Bebe,CT_17_04,Cuidado Corporal Bebé,CT_17_04_01
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05,Cuidado Corporal,CT_17_05_01
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05,Cuidado Capilar,CT_17_05_02
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05,Cuidado Facial,CT_17_05_03
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05,Salud y Bienestar,CT_17_05_04
¡Makro también es Micro!,CT_17,Cuidado Personal,CT_17_05,Cuidado Oral,CT_17_05_05
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,"Salsas, Vinagres y Condimentos",CT_17_06_01
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,"Sopas, Bases y Cremas",CT_17_06_02
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,"Café, Té y Chocolates",CT_17_06_03
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,Enlatados y Conservas,CT_17_06_04
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,Aceites,CT_17_06_05
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,Arroz,CT_17_06_06
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,Granos,CT_17_06_07
¡Makro también es Micro!,CT_17,Despensa,CT_17_06,Aceites,CT_17_06_05
¡Makro también es Micro!,CT_17,Dulces y Postres,CT_17_07,Chocolates,CT_17_07_01
¡Makro también es Micro!,CT_17,Dulces y Postres,CT_17_07,Gomas,CT_17_07_02
¡Makro también es Micro!,CT_17,Dulces y Postres,CT_17_07,Malvaviscos y Otros,CT_17_07_03
¡Makro también es Micro!,CT_17,"Lácteos, Huevos y Refrigerados",CT_17_08,Quesos,CT_17_08_01
¡Makro también es Micro!,CT_17,Mascotas,CT_17_09,Perros,CT_17_09_01
¡Makro también es Micro!,CT_17,Mascotas,CT_17_10,Gatos,CT_17_09_02
¡Makro también es Micro!,CT_17,Snacks y Pasabocas,CT_17_10,Galletas,CT_17_10_01
¡Makro también es Micro!,CT_17,Snacks y Pasabocas,CT_17_10,Snacks,CT_17_10_02
¡Makro también es Micro!,CT_17,Snacks y Pasabocas,CT_17_10,Frutos Secos,CT_17_10_03
¡Makro también es Micro!,CT_17,Vehiculo,CT_17_11,Ambientadores y tapetes,CT_17_11_01